Word/Phrase	Category
construtor	NOUN
conta	VERB
contente	ADJ
continuar	VERB
contra	ADP
conversar	VERB
convidado	NOUN
convite	NOUN
copo	NOUN
cor	NOUN
coração	NOUN
coro	NOUN
corpo	NOUN
corporação	NOUN
corredor	NOUN
correios	NOUN
correr	VERB
correspondência	NOUN
correspondente	ADJ
corrida	NOUN
cortar	VERB
cortina	NOUN
costa	ADJ
costas	NOUN
costeleta	VERB
couro	ADJ
couve	ADP
couve-de-bruxelas	NOUN
couve-flor	NOUN
cozer	VERB
cozinha	NOUN
cozinhar	VERB
cozinheiro	ADJ
creme	NOUN
crescer	VERB
criança	NOUN
cruzamento	NOUN
cumprimentar	VERB
curso	NOUN
curto	ADJ
curva	VERB
damasco	NOUN
dança	NOUN
dançar	VERB
dar	VERB
dar-se	VERB
data	NOUN
de	ADP
dedo	NOUN
degrau	NOUN
deitar-se	VERB
deixar	VERB
delicioso	ADJ
demasiado	ADV
dente	ADV
dentista	ADJ
dentro	ADV
departamentos	NOUN
depois	ADV
desarrumado	VERB
descansar	VERB
descartar	VERB
descobrir	VERB
descrever	VERB
desde	ADP
desejar	VERB
desejo	NOUN
desempregado	ADJ
desenhar	VERB
desenho	NOUN
despertador	NOUN
desporto	NOUN
desportos	NOUN
destino	ADJ
detergente	ADV
detestar	VERB
detetives	ADJ
dever	VERB
deveres	NOUN
dia	NOUN
diário	ADJ
dias	NOUN
dicionário	ADJ
diferente	ADJ
difícil	ADJ
dinheiro	NOUN
direção	NOUN
director	NOUN
direita	NOUN
diretora	NOUN
disciplina	NOUN
divertido	ADJ
divertimento	NOUN
doce	ADJ
doces	NOUN
documentário	NOUN
doente	ADJ
doentio	NOUN
doer	VERB
dono	NOUN
dor	NOUN
dormir	VERB
dose	NOUN
drama	VERB
driving	NOUN
ducha	NOUN
durante	ADP
e	CCONJ
edredão	NOUN
educação	NOUN
electricista	ADJ
eléctrico	ADJ
elefante	ADJ
elegante	ADJ
elevador	NOUN
em	ADP
ementa	NOUN
emplastro	PRON
empregada	VERB
empregado	VERB
emprego	NOUN
emprestar	VERB
empurrar	VERB
encaracolado	NOUN
encher	NOUN
encontrar-se	VERB
encontro	NOUN
endereço	NOUN
enfermeiro/enfermeira	NOUN
engenheiro	ADJ
enjoo	NOUN
enquanto	ADV
ensinar	VERB
ensolarado	VERB
então	ADV
entrada	NOUN
entrar	VERB
entre	ADP
entrega	VERB
entrevista	NOUN
envelope	NOUN
enviar	VERB
equipa	NOUN
equitação	NOUN
errado	VERB
erro	NOUN
ervilhas	ADJ
escadas	NOUN
