Category,Sentence,Pattern,Highlights
Connecting words,and they never saw him again.,clause + and/but/because + clause,"{""special"": [""and""]}"
Adverbs of frequency,and they never saw him again.,Subject + adverb + verb,"{""special"": [""never""]}"
Past simple,"But apparently, he went on to become",Pronouns + verb (past),"{""verbs"": [""went""]}"
Connecting words,"But apparently, he went on to become",clause + and/but/because + clause,"{""special"": [""But""]}"
Present simple,"So, you know, the system works.",Subject + verb (present),"{""verbs"": [""know"", ""works""]}"
Directions,The end.,verb + direction,"{""special"": [""end""]}"
Past simple,"One day, there was a lovely big field",Pronouns + verb (past),"{""verbs"": [""was""]}"
Numbers,"One day, there was a lovely big field",Noun + verb + number + noun,"{""numbers"": [""One""]}"
To be,"One day, there was a lovely big field",Subject + to be,"{""special"": [""was""]}"
Prepositions,with grass blowing gently in the breeze. (BLOWS) - (GIGGLES),noun + preposition + noun,"{""special"": [""in""]}"
Past simple,When along came... an antelope!,Pronouns + verb (past),"{""verbs"": [""came""]}"
Past simple,But the antelope was chased away by a... cheetah!,Pronouns + verb (past),"{""verbs"": [""was""]}"
To be,But the antelope was chased away by a... cheetah!,Subject + to be,"{""special"": [""was""]}"
Connecting words,But the antelope was chased away by a... cheetah!,clause + and/but/because + clause,"{""special"": [""But""]}"
Past simple,Then the cheetah got tired,Pronouns + verb (past),"{""verbs"": [""got""]}"
Past simple,and along came some tiny little ants.,Pronouns + verb (past),"{""verbs"": [""came""]}"
