Category,Sentence,Pattern,Highlights
Past simple,"Oh yeah, he did. [Together] (GIGGLE)",Pronouns + verb (past),"{""verbs"": [""did""]}"
Present simple,“I loave my mum.”,Subject + verb (present),"{""verbs"": [""loave""]}"
Possessives,“I loave my mum.”,possessive + noun,"{""special"": [""my""]}"
Numbers,"[All three, together] Aww...",Noun + verb + number + noun,"{""numbers"": [""three""]}"
Present simple,“She is the bast mum in the wahol worl.”,Subject + verb (present),"{""verbs"": [""is""]}"
To be,“She is the bast mum in the wahol worl.”,Subject + to be,"{""special"": [""is""]}"
Prepositions,“She is the bast mum in the wahol worl.”,noun + preposition + noun,"{""special"": [""in""]}"
Past simple,“But I don lick the food she corks.”,Pronouns + verb (past),"{""verbs"": [""don""]}"
Connecting words,“But I don lick the food she corks.”,clause + and/but/because + clause,"{""special"": [""But""]}"
Possessives,“Especkialy her lazarniya.”,possessive + noun,"{""special"": [""her""]}"
Present simple,“It is lak etting vommm-it.”,Subject + verb (present),"{""verbs"": [""is""]}"
Present continuous,“It is lak etting vommm-it.”,be + verb-ing,"{""verbs"": [""etting""], ""special"": [""is""]}"
Directions,“The end.”,verb + direction,"{""special"": [""end""]}"
Present simple,I'm back! [Together] (SQUEAL),Subject + verb (present),"{""verbs"": [""'m""]}"
To be,I'm back! [Together] (SQUEAL),Subject + to be,"{""special"": [""'m""]}"
Questions,"You staying for dinner, Bandy?",Question word + aux + subject + verb,"{""special"": []}"
Present simple,I'm making my lasaaaa-gna.,Subject + verb (present),"{""verbs"": [""'m""]}"
Present continuous,I'm making my lasaaaa-gna.,be + verb-ing,"{""verbs"": [""making""], ""special"": [""'m""]}"
Possessives,I'm making my lasaaaa-gna.,possessive + noun,"{""special"": [""my""]}"
Present simple,"Oh, man. I'm starving.",Subject + verb (present),"{""verbs"": [""'m""]}"
Present continuous,"Oh, man. I'm starving.",be + verb-ing,"{""verbs"": [""starving""], ""special"": [""'m""]}"
Present simple,"I need to eat something.  - Ah, no. Bandit.",Subject + verb (present),"{""verbs"": [""need""]}"
Present simple,"What, am I not allowed to eat food if I'm hungry?",Subject + verb (present),"{""verbs"": [""am"", ""'m""]}"
To be,"What, am I not allowed to eat food if I'm hungry?",Subject + to be,"{""special"": [""am"", ""'m""]}"
Questions,"What, am I not allowed to eat food if I'm hungry?",Question word + aux + subject + verb,"{""special"": [""What"", ""to""]}"
Present simple,What kind of a regime is this?,Subject + verb (present),"{""verbs"": [""is""]}"
To be,What kind of a regime is this?,Subject + to be,"{""special"": [""is""]}"
Questions,What kind of a regime is this?,Question word + aux + subject + verb,"{""special"": [""What""]}"
Can/Could,- (Sighs) Carry on.  - I could go some chicken bucket.,pronouns + can/could + verb,"{""verbs"": [], ""special"": [""could""]}"
Present simple,"Oh, I don't want to get in the car, though. Too much traffic.",Subject + verb (present),"{""verbs"": [""do""]}"
Prepositions,"Oh, I don't want to get in the car, though. Too much traffic.",noun + preposition + noun,"{""special"": [""in""]}"
Present simple,I'm hungry now.,Subject + verb (present),"{""verbs"": [""'m""]}"
To be,I'm hungry now.,Subject + to be,"{""special"": [""'m""]}"
Going to,I'm just going to eat one of the kids.  - Agh!,be + going + to + verb,"{""verbs"": [""eat""], ""special"": [""going"", ""to""]}"
Numbers,I'm just going to eat one of the kids.  - Agh!,Noun + verb + number + noun,"{""numbers"": [""one""]}"
Present continuous,I'm just going to eat one of the kids.  - Agh!,be + verb-ing,"{""verbs"": [""going""], ""special"": [""'m""]}"
Present simple,You know the kids don't agree with you.,Subject + verb (present),"{""verbs"": [""know"", ""do""]}"
To be,"Ah, she'll be right. I'll have a peppermint tea after.",Subject + to be,"{""special"": [""be""]}"
Directions,"Ah, she'll be right. I'll have a peppermint tea after.",verb + direction,"{""special"": [""right""]}"
Imperatives,"Put a bit of salt on first. Chew, chew, chew. Swallow.",Verb + (object),"{""verbs"": [""Put""]}"
Prepositions,"Put a bit of salt on first. Chew, chew, chew. Swallow.",noun + preposition + noun,"{""special"": [""on""]}"
Past simple,"Oh, man, that was good.",Pronouns + verb (past),"{""verbs"": [""was""]}"
To be,"Oh, man, that was good.",Subject + to be,"{""special"": [""was""]}"
Past simple,"Was that so bad, Mum?",Pronouns + verb (past),"{""verbs"": [""Was""]}"
To be,"Was that so bad, Mum?",Subject + to be,"{""special"": [""Was""]}"
Questions,"Was that so bad, Mum?",Question word + aux + subject + verb,"{""special"": []}"
Past simple,"I'm just saying, the last time you ate a kid,",Pronouns + verb (past),"{""verbs"": [""ate""]}"
Present continuous,"I'm just saying, the last time you ate a kid,",be + verb-ing,"{""verbs"": [""saying""], ""special"": [""'m""]}"
Past simple,you were up all night.,Pronouns + verb (past),"{""verbs"": [""were""]}"
To be,you were up all night.,Subject + to be,"{""special"": [""were""]}"
Present simple,"It's all good. Oh, hang on.",Subject + verb (present),"{""verbs"": [""'s""]}"
To be,"It's all good. Oh, hang on.",Subject + to be,"{""special"": [""'s""]}"
Present simple,Something's not sitting right. - See?,Subject + verb (present),"{""verbs"": [""'s""]}"
Present continuous,Something's not sitting right. - See?,be + verb-ing,"{""verbs"": [""sitting""], ""special"": [""'s""]}"
Questions,Something's not sitting right. - See?,Question word + aux + subject + verb,"{""special"": [""'s""]}"
Directions,Something's not sitting right. - See?,verb + direction,"{""special"": [""right""]}"
Present simple,I'm not feeling so good.,Subject + verb (present),"{""verbs"": [""'m""]}"
Present continuous,I'm not feeling so good.,be + verb-ing,"{""verbs"": [""feeling""], ""special"": [""'m""]}"
Past simple,It might have been something I ate...,Pronouns + verb (past),"{""verbs"": [""ate""]}"
To be,It might have been something I ate...,Subject + to be,"{""special"": [""been""]}"
