word,category
pasta,Nouns 
Paul,Nouns 
penguin,Nouns 
Peter,Nouns 
picnic,Nouns 
pirate,Nouns 
place,Nouns 
plant,Nouns 
plate,Nouns 
player,Nouns 
pool,Nouns 
pop star,Nouns 
practice,Nouns 
present,Nouns 
puppy,Nouns 
roller skates,Nouns 
roller skating,Nouns 
roof,Nouns 
sail,Nouns 
salad,Nouns 
Sally,Nouns 
sandwich,Nouns 
Saturday,Nouns 
sauce,Nouns 
scarf,Nouns 
seat,Nouns 
shape,Nouns 
shark,Nouns 
shopping,Nouns 
shopping centre,Nouns 
shoulder,Nouns 
shower,Nouns 
skate,Nouns 
sky,Nouns 
snail,Nouns 
snow,Nouns 
son,Nouns 
soup,Nouns 
sports centre,Nouns 
square,Nouns 
stair(s),Nouns 
star,Nouns 
station,Nouns 
stomach,Nouns 
stomach-ache,Nouns 
Sunday,Nouns 
supermarket,Nouns 
sweater,Nouns 
swim,Nouns 
swimming pool,Nouns 
swimsuit,Nouns 
tea,Nouns 
temperature,Nouns 
text,Nouns 
Thursday,Nouns 
ticket,Nouns 
tooth/teeth,Nouns 
toothache,Nouns 
toothbrush,Nouns 
toothpaste,Nouns 
top,Nouns 
towel,Nouns 
town,Nouns 
rabbit,Nouns 
rain,Nouns 
rainbow,Nouns 
ride,Nouns 
river,Nouns 
road,Nouns 
rock,Nouns 
tractor,Nouns 
treasure,Nouns 
trip,Nouns 
Tuesday,Nouns 
uncle,Nouns 
upstairs,Nouns 
phone,Nouns 
photo,Nouns 
piano,Nouns 
picture,Nouns 
pie,Nouns 
pineapple,Nouns 
plane,Nouns 
playground,Nouns 
polar bear,Nouns 
poster,Nouns 
potato,Nouns 
question,Nouns 
radio,Nouns 
rice,Nouns 
robot,Nouns 
room,Nouns 
rubber,Nouns 
rug,Nouns 
ruler,Nouns 
Sam,Nouns 
sand,Nouns 
sausage,Nouns 
school,Nouns 
sea,Nouns 
sentence,Nouns 
sheep,Nouns 
shell,Nouns 
ship,Nouns 
shirt,Nouns 
shoe,Nouns 
shop,Nouns 
shorts,Nouns 
sister,Nouns 
skateboard,Nouns 
skateboarding,Nouns 
skirt,Nouns 
smile,Nouns 
snake,Nouns 
soccer,Nouns 
sock,Nouns 
sofa,Nouns 
song,Nouns 
spider,Nouns 
sport,Nouns 
